n_simbolos_processados,comprimento_medio_progressivo
61200,3.153839
61300,3.152858
61400,3.152118
61500,3.150990
61600,3.150122
61700,3.149440
61800,3.148399
61900,3.146996
62000,3.146052
62100,3.144854
62200,3.143690
62300,3.143672
62400,3.142695
62500,3.142815
62600,3.142208
62700,3.141477
62800,3.140354
62900,3.139395
63000,3.139784
63100,3.139218
63200,3.138197
63300,3.137623
63400,3.136424
63500,3.135623
63600,3.134923
63700,3.133559
63800,3.132187
63900,3.132398
64000,3.131039
64100,3.130079
64200,3.129723
64300,3.128426
64400,3.127196
64500,3.126086
64600,3.125259
64700,3.123908
64800,3.122669
64900,3.122479
65000,3.121331
65100,3.120382
65200,3.119072
65300,3.118116
65400,3.117783
65500,3.117804
65600,3.117183
65700,3.115801
65800,3.114668
65900,3.113949
66000,3.113291
66100,3.112383
66200,3.111102
66300,3.110308
66400,3.109015
66500,3.107396
66600,3.106821
66700,3.105443
66800,3.104281
66900,3.104532
67000,3.103684
67100,3.102919
67200,3.101350
67300,3.100867
67400,3.100539
67500,3.099661
67600,3.099259
67700,3.098315
67800,3.098078
67900,3.097592
68000,3.095939
68100,3.095005
68200,3.094660
68300,3.093450
68400,3.093128
68500,3.091870
68600,3.090861
68700,3.089554
68800,3.088872
68900,3.087130
69000,3.085875
69100,3.084818
69200,3.083730
69300,3.082649
69400,3.081830
69500,3.080243
69600,3.079293
69700,3.078178
69800,3.077868
69900,3.076895
70000,3.076808
70100,3.076546
70200,3.076447
70300,3.075761
70400,3.075088
70500,3.074659
70600,3.074159
70700,3.073526
70800,3.072356
70900,3.071459
71000,3.071266
71100,3.071045
71200,3.070271
71300,3.069353
71400,3.067744
71500,3.066716
71600,3.065680
71700,3.064389
71800,3.063126
71900,3.062127
72000,3.060939
72100,3.060377
72200,3.060328
72300,3.059322
72400,3.058760
72500,3.058408
72600,3.057767
72700,3.056973
72800,3.056078
72900,3.055128
73000,3.054804
73100,3.053717
73200,3.053055
73300,3.052496
73400,3.052223
73500,3.050938
73600,3.049637
73700,3.048810
73800,3.048722
73900,3.047990
74000,3.047423
74100,3.047362
74200,3.045845
74300,3.044833
74400,3.044040
74500,3.042937
74600,3.042425
74700,3.041128
74800,3.040712
74900,3.039987
75000,3.038738
75100,3.038359
75200,3.037196
75300,3.036266
75400,3.036100
75500,3.034803
75600,3.034283
75700,3.033522
75800,3.032474
75900,3.031638
76000,3.030654
76100,3.029667
76200,3.027957
76300,3.027174
76400,3.025797
76500,3.024231
76600,3.023608
76700,3.022691
76800,3.021352
76900,3.020517
77000,3.019206
77100,3.018824
77200,3.018579
77300,3.017998
77400,3.016773
77500,3.016295
77600,3.015710
77700,3.015148
77800,3.014511
77900,3.013498
78000,3.012234
# RESET at symbol 78000
78100,3.015116
78200,3.016686
78300,3.018057
78400,3.019030
78500,3.020261
78600,3.020955
78700,3.021994
78800,3.023029
78900,3.023626
79000,3.024630
# RESET at symbol 79000
79100,3.027489
79200,3.029825
79300,3.031250
79400,3.032144
79500,3.033968
79600,3.035042
79700,3.035054
79800,3.035568
