n_simbolos_processados,comprimento_medio_progressivo
77200,2.632581
77300,2.632115
77400,2.631340
77500,2.630937
77600,2.630882
77700,2.630526
77800,2.629980
77900,2.629284
78000,2.628470
78100,2.627696
78200,2.627008
78300,2.627452
78400,2.626805
78500,2.626823
78600,2.626104
78700,2.625222
78800,2.624439
78900,2.623997
79000,2.623082
79100,2.622804
79200,2.622644
79300,2.622506
79400,2.622147
79500,2.622148
79600,2.622398
79700,2.621619
79800,2.621566
79900,2.621188
80000,2.621130
80100,2.620960
80200,2.621188
80300,2.620888
80400,2.620693
80500,2.620477
80600,2.619875
80700,2.619184
80800,2.618761
80900,2.618261
81000,2.618235
81100,2.617811
81200,2.617331
81300,2.616472
81400,2.615751
81500,2.615119
81600,2.614254
81700,2.613630
81800,2.613066
81900,2.612218
82000,2.611644
82100,2.610739
82200,2.610670
82300,2.610465
82400,2.610264
82500,2.609730
82600,2.609570
82700,2.608852
82800,2.608767
82900,2.608306
83000,2.607903
83100,2.607448
83200,2.607119
83300,2.606614
83400,2.606011
83500,2.605415
83600,2.605556
83700,2.605116
83800,2.604686
83900,2.603938
84000,2.603475
84100,2.602960
84200,2.602756
84300,2.602126
84400,2.601587
84500,2.600915
84600,2.600725
84700,2.600407
84800,2.600037
84900,2.599710
85000,2.600127
85100,2.599423
85200,2.598916
85300,2.598406
85400,2.597938
85500,2.597626
85600,2.597717
85700,2.597377
85800,2.597488
85900,2.597627
86000,2.597386
86100,2.596378
86200,2.595838
86300,2.595609
86400,2.595403
86500,2.594914
86600,2.594819
86700,2.594846
86800,2.593752
86900,2.593251
87000,2.592827
87100,2.592270
87200,2.592110
87300,2.592910
87400,2.592509
87500,2.592430
87600,2.591826
87700,2.591596
87800,2.591319
87900,2.590482
88000,2.589986
88100,2.589556
88200,2.588916
88300,2.588404
88400,2.587733
88500,2.587729
88600,2.586830
88700,2.586146
88800,2.585538
88900,2.584881
89000,2.584902
89100,2.584431
89200,2.584150
89300,2.583402
89400,2.583427
89500,2.583014
89600,2.582531
89700,2.582455
89800,2.581490
89900,2.580827
90000,2.580066
90100,2.579971
90200,2.579442
90300,2.579294
90400,2.578254
90500,2.578093
90600,2.577544
90700,2.577155
90800,2.576486
90900,2.576334
91000,2.575310
91100,2.575251
91200,2.574728
91300,2.574212
91400,2.574294
91500,2.574024
91600,2.573864
91700,2.573723
91800,2.574072
91900,2.573543
92000,2.572902
92100,2.571944
92200,2.571108
92300,2.570341
92400,2.569530
92500,2.568981
92600,2.568703
92700,2.568658
92800,2.568470
92900,2.567977
93000,2.567871
93100,2.567582
93200,2.567378
93300,2.567082
93400,2.566970
93500,2.566714
93600,2.566309
93700,2.566008
93800,2.565854
93900,2.565176
94000,2.564683
94100,2.564352
94200,2.563782
94300,2.563674
94400,2.562936
94500,2.562696
94600,2.562209
94700,2.561732
94800,2.561896
94900,2.562009
95000,2.561498
95100,2.561230
95200,2.560907
95300,2.560587
95400,2.560193
95500,2.559623
95600,2.559106
95700,2.558529
95800,2.558357
95900,2.558224
96000,2.557972
96100,2.557853
96200,2.557503
96300,2.557292
96400,2.557251
96500,2.557042
96600,2.556812
96700,2.556633
96800,2.555872
96900,2.555526
97000,2.554977
97100,2.554478
97200,2.553822
97300,2.553479
97400,2.553362
97500,2.553234
97600,2.552850
97700,2.553025
97800,2.552366
97900,2.552635
98000,2.552379
98100,2.552536
98200,2.552064
98300,2.551483
98400,2.551014
98500,2.550364
98600,2.549958
98700,2.549562
98800,2.549120
98900,2.548599
99000,2.548258
99100,2.547218
99200,2.547214
99300,2.546752
99400,2.546179
99500,2.545292
99600,2.544591
